Sub Standardize ID,Sub Name,Sub Country,Sub State,Parent Standardized ID,Parent Name,tap_industry, 3 Year Stock Spend ,Propoensity to Buy, Estimated Avg. Stock , Est. Low Spend , Est. High Spend , Sales Estimated ASV ,Country,Named,DME Rep,NA Stock ARR,How Many Past Opps,Most Recent Opp
14706,FX Networks,US,CA,266115,21st Century Fox,Media & Entertainment," $7,879.00 ",*****," $50,978.89 "," $27,217.26 "," $95,911.57 ",,US,Named,Zach Fisher,$0,0,GREEN
20935,CMG Corporate Services,US,GA,9135,Cox Enterprises,Media & Entertainment, $-   ,*," $45,026.43 "," $21,460.42 "," $95,762.08 ",,US,Named,Grant Hamlen,$0,0,GREEN
11010,L Brands,US,OH,11010,L Brands,Retail," $106,875.00 ",*****," $53,342.95 "," $29,817.01 "," $95,463.00 ",,US,Named,Bill Partridge,"$34,913",7,DR2160448
2435,Black Entertainment Television (BET),US,DC,1947,National Amusements,Media & Entertainment, $-   ,*," $44,677.44 "," $21,301.25 "," $95,261.73 ",,US,Named,John Collins,$0,0,GREEN
9061,Victoria's Secret,US,OH,11010,L Brands,Retail, $-   ,*," $44,467.96 "," $21,058.46 "," $95,093.99 ",,US,Named,Bill Partridge,$0,0,GREEN
26917,247Sports,US,TN,1947,National Amusements,Media & Entertainment, $-   ,*," $42,474.17 "," $19,302.69 "," $94,820.47 ",,US,Named,John Collins,$0,0,GREEN
21401,Disney,US,FL,21401,Disney,Media & Entertainment, $-   ,****," $49,879.64 "," $26,727.53 "," $93,502.22 ",,US,Named,Zach Fisher,$0,7,DR2009763
10804,Sam's Club,US,AR,26416,Walmart,Retail, $-   ,*," $42,842.69 "," $20,023.59 "," $93,251.14 ",,US,Named,PH USER AMERICAS 91700561,$0,0,GREEN
265560,DFS Corporate Services,US,IL,12949,Discover Financial Services (DFS),Financial Services, $-   ,****," $45,066.21 "," $21,911.28 "," $93,172.48 ",,US,Named,Bill Partridge,$0,0,GREEN
17456,Cartoon Network,US,GA,24749,Time Warner,Media & Entertainment, $-   ,*," $42,115.09 "," $20,942.11 "," $85,840.62 ",,US,Named,John Collins,$0,0,GREEN
26666,Hulu,JP,0,26666,Hulu,Media & Entertainment," $11,250.00 ",*****," $49,530.64 "," $28,587.13 "," $85,818.77 ",,US,Named,Zach Fisher,"$5,000",1,DR1907438
9114,Activision,US,CA,13092,Activision Blizzard,Technology Software & Services, $-   ,*****," $44,750.92 "," $23,823.07 "," $84,386.97 ",,US,Named,Zach Fisher,$0,0,GREEN
